Take Down,,,9,EOT,5,"Melee, 1 Target, Dash, Recoil 1/3",You may perform a Trip Maneuver against the target as a Free Action.,Tough - Steady Performance,Physical,Normal,,o,,o,,,,,,o
Tearful Look,,,--,EOT,2,"Burst 1, Social, Friendly",All legal targets lose -1 Attack and Special Attack CS each.,--,Status,Normal,,,,,,,,,,
Teatime,,,--,Scene,--,"Field, Social","All participants in the battle may choose to immediately consume one of their Food Buffs, regardless of if the conditions to do so are met.",Cute - Safe Option,Status,Normal,,,,,,,,,,
Techno Blast,,,12,Scene,2,"6, Ranged Blast 2",Techno Blast’s Type can be any Type while holding the appropriate Drive item or Plate item.,Smart - Seen Nothing Yet,Special,Normal,,,,,,,,,,
Teeter Dance,,,--,Scene,2,Burst 1,All legal targets are Confused.,Cute - Tease,Status,Normal,,,,,,,,,,
Terrain Pulse,,,5,EOT,2,Close Blast 3,"If the user is under the effects of a Terrain, Terrain Pulse has a Damage Base of 10 (3d8+10 / 24). In addition, Terrain Pulse becomes the Type that corresponds with the Move that creates that Terrain. (For example, if in Misty Terrain, it would become Fairy Type.) If the user is under the effects of multiple Terrains, choose one to affect this Move.",Cool - Reflective Appeal,Special,Normal,,,o,,,,,,,
Thrash,,,12,Scene x2,3,"Melee, all adjacent foes, Smite","After damage is dealt, the user becomes Enraged and Confused.",Tough - Reliable,Physical,Normal,,o,,,,,,,,o
Tickle,,,--,EOT,2,"Melee, 1 Target",Lower the target’s Attack and Defense by -1 CS each.,Cute - Excitement,Status,Normal,,o,,,,,,,,
Transform,,,--,At-Will,--,"10, 1 Target","The user targets a Pokémon within 10 meters and assumes the form of the target. It gains all of the target's Moves, Abilities, and Capabilities; and copies its weight and height. Transform lasts until the user is switched out, Fainted, or until the end of the encounter. The user may choose to end the Transformation on its turn as a free action, regaining its previous Move List. The user's Stats do not change from using Transform. Transform cannot miss.",Smart -  Catching Up,Status,Normal,,,,,,,,,,
Tri Attack,,,8,EOT,2,"6, 1 Target","Tri Attack gives the target a Status ailment on 17+. If this effect is triggered, roll 1d3; on 1 the target is Paralyzed; on 2 the target is Burned; on 3 the target is Frozen.",Beauty - Steady Performance,Special,Normal,o,,,,,,,,,
Trump Card,,,6,EOT,2,"6, 1 Target","Whenever the user uses Trump Card, the user gains a Trump Count after the attack is resolved. Trump Card's DB is increased by +2 for each Trump Count.",Cool - Exhausting Act,Special,Normal,,,o,,,,,,,
Uproar,,,5,EOT,2,"Burst 1, Spirit Surge, Sonic",All Pokémon and Trainers within 5 meters of the user are cured of Sleep.,Cute - Unsettling,Special,Normal,,,o,,,,,o,,
Vicegrip,,,6,At-Will,2,"Melee, 1 Target",--,Tough - Steady Performance,Physical,Normal,,o,o,,,,,,,
Weather Ball,,,5,EOT,2,"8, 1 Target","If it is Sunny, Weather Ball is Fire-Type. If it is Rainy, Weather Ball is Water-Type. If it is Hailing, Weather Ball is Ice-Type. If it is Sandstorming, Weather Ball is Rock-Type. When a weather effect is on the field, Weather Ball has a Damage Base of 10 (3d8+10 / 24). If there are multiple Weather Effects on the field, choose one type for Weather Ball to be that corresponds with an existing Weather Effect.",Smart - Incentives,Special,Normal,,,o,,,,,,,
Whirlwind,,,--,Scene x2,2,Line 6,"All targets are pushed X meters, where X is 8 minus their weight class. If the Line targets into a Smokescreen, the smoke is dispersed. All hazards in the Whirlwind are destroyed.",Smart - Big Show,Status,Normal,,,,,,,,,,
Wish,,,--,Daily x2,--,"15, 1 Target, Healing","At the end of the user's next turn, the target regains HP equal to half of its full HP. If the user targets itself and is replaced in battle, the replacement is healed by half of its own HP.",Cute - Reflective Appeal,Status,Normal,,,,,,,,,,
Work Up,,,--,EOT,--,Self,Raise the user’s Attack and Special Attack by +1 CS each.,Tough - Get Ready!,Status,Normal,,,,,,,,,,
Wrap,,,--,Static,--,--,"The user gains a +1 Bonus to Accuracy Rolls made to initiate Grapple Maneuvers, and +2 to Skill Checks made to initiate Grapple Maneuvers or gain Dominance. Whenever the user gains Dominance in a Grapple, the target of the Grapple loses a Tick of Hit Points.",Tough - Safe Option,Static,Normal,,,,,,,,,,
Wring Out,,,12,Scene x2,2,"Melee, 1 Target","For every 10% the target is below their full HP, Wring Out's Damage Base is reduced by -1.",Smart - Seen Nothing Yet,Special,Normal,,o,,,,,,,,
Yawn,,,--,Scene x2,--,"2, 1 Target, Social",The target falls Asleep at the end of its next turn. Yawn cannot miss.,Cute - Excitement,Status,Normal,,,,,,,,,,
Name,Type,Category,Damage base,Frequency,AC,Range,Effects,Contest Stats,Category,Type,,,,,,,,,,
Acid,,,4,At-Will,2,Cone 2,Acid lowers the target’s Special Defense by -1 Combat Stage on 18+.,Smart - Steady Performance,Special,Poison,o,,o,,,,,,,
Acid Armor,,,--,Scene,--,"Self, Set-Up","Set-Up Effect: The user becomes Liquefied. While Liquefied, the user is Slowed and cannot take Standard Actions except to Resolve the effect of Acid Armor, the user's Movement is never obstructed by rough or slow terrain, and the user can shift even through the smallest openings. Furthermore, while Liquefied, the user is completely immune to all Physical damage and becomes completely invisible if fully submerged in any liquid. Resolution Effect: The user gains +1 Defense CS, then stops being liquified.",Tough - Get Ready!,Status,Poison,,,,,,,,,,
Acid Spray,,,4,EOT,2,"4, 1 Target",Acid Spray lowers the target’s Special Defense by -2 CS.,Smart - Unsettling,Special,Poison,,,o,,,,,,,
Baneful Bunker,,,--,Scene,--,"Self, Interrupt, Shield, Trigger","If the user is hit by an attack, the user may use Baneful Bunker. The user is instead not hit by the Move. You do not take any damage nor are you affected by any of the Move’s effects. In addition, if the triggering attack was Melee ranged, the attacker is Poisoned.",--,Status,Poison,,,,,,,,,,
Barb Barrage,,,2,EOT,2,"6, 1 Target, Five Strike","The target is Poisoned on a 17+. Once a Scene, if Barb Barrage’s target has a Status Condition, you may choose to not roll for Five Strike. Instead, treat Barb Barrage as though it automatically rolled an 8 for Five Strike.",Smart - Reliable,Physical,Poison,o,,o,,,,,,,
Belch,,,12,Scene x2,4,Cone 2,Belch cannot be used if the user has not traded in a Digestion/Food Buff during this Scene.,Tough - Desperation,Special,Poison,,,,,,,,,,
Clear Smog,,,5,Scene x2,--,"6, 1 Target","The target's Combat Stages are reset to their defaults, and all Coats on the target are destroyed. Clear Smog cannot miss.",Smart - Sabotage,Special,Poison,,,o,,,,,,,
Coil,,,--,Scene x2,--,Self,"Raise the user’s Attack and Defense by +1 CS, and the user gains +1 Accuracy.",Cute - Get Ready!,Status,Poison,,,,,,,,,,
Corrosive Gas,,,--,EOT,2,Burst 1,"Targets hit have their current Held Item(s) unable to be used for the remainder of the Scene. In addition, Steel-Type targets hit lose their immunity to Poison until they Faint or Take A Breather; Poison instead counts as neutral against Steel.",Smart - Sabotage,Status,Poison,,,,,,,,,,
Cross Poison,,,7,EOT,2,"Melee, Pass",Cross Poison is a Critical Hit on 18+ and Poisons the target on 19+.,Cool - Steady Performance,Physical,Poison,o,o,,,,,,,,
Dire Claw,,,6,EOT,2,"Melee, 1 Target","Dire Claw is a Critical Hit on a 19+. Dire Claw gives the target a Status ailment on a 15+. If this is triggered, roll 1d3; on 1 the target is Poisoned; on 2 the target is Paralyzed; on 3 the target is Flinched.",Tough - Steady Performance,Physical,Poison,o,o,o,,,,,,,
Gastro Acid,,,--,Scene,2,4. 1 Target,"The target's Ability is disabled until the end of the encounter. If the target has more than one ability, you choose one of them to disable.",Beauty - Sabotage,Status,Poison,,,,,,,,,,
Gunk Shot,,,12,Daily x2,5,"6, 1 Target, Smite",Gunk Shot Poisons the target on 15+.,Cool - Steady Performance,Physical,Poison,o,,,,,,,,,
Poison Fang,,,5,EOT,2,"Melee, 1 Target",Poison Fang Badly Poisons the target on 17+.,Smart - Incentives,Physical,Poison,o,o,o,,,,,,o,
Poison Gas,,,--,Scene,6,Burst 1 or Cone 2,Poison Gas Poisons all legal targets.,Smart - Steady Performance,Status,Poison,,,,,,,,,,
Poison Jab,,,8,EOT,2,"Melee, 1 Target",Poison Jab Poisons the target on 15+.,Smart - Incentives,Physical,Poison,o,o,,,,,,,,
Poison Powder,,,--,EOT,6,"4, 1 Target, Powder",The target is Poisoned.,Smart - Excitement,Status,Poison,,,,,,,,,,
Poison Sting,,,2,At-Will,2,"6, 1 Target",Poison Sting Poisons the target on 17+.,Smart - Excitement,Physical,Poison,o,,o,,,,,,,
Poison Tail,,,5,At-Will,2,"Melee, 1 Target",Poison Tail is a Critical Hit on 18+ and Poisons the target on 19+.,Smart - Incentives,Physical,Poison,o,o,o,,,,,,,
Purify,,,--,Scene,--,"Melee, 1 Target","The target is cured of all Permanent and Volatile Statuses. For every status removed, the user recovers a Tick of Hit Points.",--,Status,Poison,,,,,,,,,,
Shell Side Arm,,,9,EOT,2,"6, 1 Target","This attack uses the highest of the user’s Attack or Special Attack Stat, though this does not change the Class of the Move. In addition, if the target’s Defense is lower than its Special Defense, this attack targets Defense, becoming a Physical Move. The target is poisoned on a 17+.",Smart - Seen Nothing Yet,Special,Poison,o,,,,,,,,,
Sludge,,,7,EOT,2,"6, 1 Target",Sludge Poisons the target on 15+.,Tough - Desperation,Special,Poison,o,,,,,,,,,
Sludge Bomb,,,9,EOT,2,"8, 1 Target",Sludge Bomb Poisons the target on 15+.,Tough - Desperation,Special,Poison,o,,,,,,,,,
Sludge Wave,,,10,Scene x2,2,Burst 1 or Close Blast 2,Sludge Wave Poisons all legal targets on 19+.,Cool - Steady Performance,Special,Poison,o,,,,,,,,,
Smog,,,3,At-Will,7,Line 2,Smog Poisons all legal targets on an Even-Numbered Roll.,Tough - Steady Performance,Special,Poison,o,,o,,,,,,,
Toxic,,,--,Scene x2,4,"4, 1 Target","The target is Badly Poisoned. If the user is Poison Type, Toxic cannot miss.",Smart - Excitement,Status,Poison,,,,,,,,,,
Toxic Spikes,,,--,EOT,--,"6, Hazard","Set 8 square meters of Toxic Spikes within the range such that all 8 meters are adjacent with at least one other space of Toxic Spikes. Toxic Spikes cause Terrain to become Slow Terrain, and a grounded foe that runs into the hazard becomes Poisoned and Slowed until the end of their next turn. If there are 2 layers of Toxic Spikes on the same space, it Badly Poisons the foes instead. Poison-Type Pokemon may move over Toxic Spikes harmlessly, destroying the Hazards as they do so.",Smart - Sabotage,Status,Poison,,,,,,,,,,
Toxic Threads,,,--,Scene x2,2,"6, 1 Target","The target is Poisoned and receives -1 Speed Combat Stage. If the target is already Poisoned, they instead lose a Tick of Hit Points and receive -2 Speed Combat Stages.",--,Status,Poison,,,,,,,,,,
Venom Drench,,,--,EOT,--,Cone 2,"All Poisoned targets have their Attack, Special Attack, and Speed lowered by -1 CS. Venom Drench cannot miss.",Smart - Sabotage,Status,Poison,,,,,,,,,,
Venoshock,,,7,Scene x2,2,"6, 1 Target","If the target is Poisoned, Venoshock has a Damage Base of 13 (4d10+10 / 35) instead.",Smart - Incentives,Special,Poison,,,,,,,,,,
Name,Type,Category,Damage base,Frequency,AC,Range,Effects,Contest Stats,Category,Type,,,,,,,,,,
Agility,,,--,EOT,--,Self,Raise the user’s Speed 2 Combat Stages.,Cool - Saving Grace,Status,Psychic,,,,,,,,,,
Ally Switch,,,--,Scene,--,"6, 1 Target, Interrupt","Ally Switch may be declared during a foe’s turn as an Interrupt. The user chooses one willing ally within 6 meters; the target and the user switch places. If the ally was a target of a Move, the user is now the target; If the user was a target of a Move, the ally is now the target.",Cool - Tease,Status,Psychic,,,,,,,,,,
Amnesia,,,--,EOT,--,Self,Raise the user’s Special Defense 2 Combat Stages.,Cute - Get Ready!,Status,Psychic,,,,,,,,,,
Barrier,,,--,Scene x2,--,Hazard,"The user creates a Barrier of psychic energy. The user places up to 4 segments of Barrier; each segment must be continuous with another segment, and at least one must be adjacent to the user. These barriers count as blocking terrain and last until the end of the encounter or until they are destroyed. Each Barrier segment is 2 meters tall, 1 meter wide, and 2 centimeters thick. Each segment has 20 Hit Points, 15 Damage Reduction, and takes damage as if it was Psychic Typed.",Cool - Sabotage,Status,Psychic,,,,,,,,,,
Calm Mind,,,--,EOT,--,Self,Raise the user’s Special Attack 1 Combat Stage and raise the user’s Special Defense 1 Combat Stage.,Smart - Get Ready!,Status,Psychic,,,,,,,,,,
Confusion,,,5,At-Will,2,"6, 1 Target",Confusion Confuses the target on 19+.,Smart - Steady Performance,Special,Psychic,o,,o,,,,,,,
Cosmic Power,,,--,EOT,--,Self,Raise the user’s Defense 1 Combat Stage and raise the user’s Special Defense 1 Combat Stage.,Cool - Get Ready!,Status,Psychic,,,,,,,,,,
Dream Eater,,,10,EOT,2,"Melee, 1 Target","Dream Eater can only target Sleeping Pokémon or Trainers. After the target takes damage, the user gains Hit Points equal to half of the damage they dealt to the target. Dream Eater does not wake up sleeping targets.",Smart -  Good Show!,Special,Psychic,,o,,,,,,,,
Eerie Spell,,,8,EOT,2,"6, 1 Target",The user may choose to Disable the target’s last Move used. This effect may only be activated once per Scene.,Smart - Sabotage,Special,Psychic,,,,,,,,,,
Esper Wing,,,8,Scene x2,4,"Melee, Pass, Priority",Esper Wing is a Critical Hit on an 18+.,Smart - Steady Performance,Special,Psychic,,,,,,,,,,
Expanding Force,,,8,EOT,2,"Burst 1, Spirit Surge"," After Expanding Force is resolved, you may create Psychic Terrain in a Blast 7, centered on the user, that lasts for 5 turns. Any creatures in those spaces are affected as if by the Field Move Psychic Terrain, rather than any other Field Move. This Effect may trigger only once per Scene.",Smart - Sabotage,Special,Psychic,,,,,,,,,,
Extrasensory,,,8,EOT,2,"5, 1 Target",Extrasensory Flinches the target on 19+.,Cool - Exhausting Act,Special,Psychic,o,,,,,,,,,
Freezing Glare,,,9,EOT,2,"6, 1 Target","Freezing Glare Freezes the target on a 19+. Once per Scene, Freezing Glare may instead be used as an Ice-Type Move.",Beauty - Unsettling,Special,Psychic,o,,,,,,,,,
Future Sight,,,12,Scene x2,--,"10, 1 Target","Future Sight does nothing on the turn it is used. At the end of the user's next turn, Future Sight hits, even if the user is no longer on the field. Future Sight cannot miss.",Smart - Exhausting Act,Special,Psychic,,,,,,,,,,
Gravity,,,--,Daily x2,--,Field,"For 5 rounds, the area is considered Warped. While Warped, Moves that involve the user being airborne may not be used. Pokémon cannot use Sky or Levitate Capabilities to end their turn at an altitude higher than 1 meter. Flying-Types and Pokémon with the Ability Levitate are no longer immune to Ground-Type Moves. All Accuracy Rolls receive a +2 Bonus.",Beauty - Sabotage,Status,Psychic,,,,,,,,,,
Guard Split,,,--,Scene,--,"Melee, 1 Target","The target loses 5 Defense and 5 Special Defense. If they do, the user gains 5 Damage Reduction. These effects last until the end of the Scene.",Cute - Inversed Appeal,Status,Psychic,,o,,,,,,,,
Guard Swap,,,--,Scene,--,"Melee, 1 Target","The user and the target trade Combat Stage values for the Defense Stat, and then for the Special Defense Stat.",Cute - Inversed Appeal,Status,Psychic,,o,,,,,,,,
